					郑州商品交易所期权每日行情表(2019-10-17)
品种代码   |昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1     |涨跌2     |成交量(手)|空盘量    |增减量    |成交额(万元)|DELTA     |隐含波动率|行权量
CF003C12200|834.00    |0.00      |0.00      |0.00      |0.00      |816.00    |-18.00    |-18.00    |0         |26        |0         |0.00        |0.7110    |16.69     |0
CF003C12400|707.00    |0.00      |0.00      |0.00      |0.00      |689.00    |-18.00    |-18.00    |0         |22        |0         |0.00        |0.6479    |16.77     |0
CF003C12600|593.00    |0.00      |0.00      |0.00      |0.00      |575.00    |-18.00    |-18.00    |0         |24        |0         |0.00        |0.5820    |16.89     |0
CF003C12800|494.00    |0.00      |0.00      |0.00      |0.00      |476.00    |-18.00    |-18.00    |0         |26        |0         |0.00        |0.5155    |17.05     |0
CF003C13000|410.00    |0.00      |0.00      |0.00      |0.00      |394.00    |-16.00    |-16.00    |0         |40        |0         |0.00        |0.4511    |17.25     |0
CF003C13200|338.00    |271.00    |330.00    |271.00    |330.00    |324.00    |-8.00     |-14.00    |24        |92        |20        |3.36        |0.3908    |17.48     |0
CF003C13400|276.00    |220.00    |220.00    |220.00    |220.00    |266.00    |-56.00    |-10.00    |20        |186       |20        |2.20        |0.3355    |17.75     |0
CF003C13600|225.00    |0.00      |0.00      |0.00      |0.00      |216.00    |-9.00     |-9.00     |0         |88        |0         |0.00        |0.2853    |18.04     |0
CF003C13800|185.00    |147.00    |183.00    |143.00    |183.00    |178.00    |-2.00     |-7.00     |56        |102       |6         |4.33        |0.2429    |18.37     |0
CF003C14000|151.00    |119.00    |151.00    |119.00    |148.00    |146.00    |-3.00     |-5.00     |132       |218       |8         |9.43        |0.2056    |18.71     |0
CF003C14200|124.00    |0.00      |0.00      |0.00      |0.00      |120.00    |-4.00     |-4.00     |0         |92        |0         |0.00        |0.1731    |19.07     |0
CF003C14400|103.00    |0.00      |0.00      |0.00      |0.00      |100.00    |-3.00     |-3.00     |0         |246       |0         |0.00        |0.1472    |19.45     |0
CF003C14600|85.00     |0.00      |0.00      |0.00      |0.00      |82.00     |-3.00     |-3.00     |0         |238       |0         |0.00        |0.1233    |19.83     |0
CF003C14800|72.00     |71.00     |71.00     |71.00     |71.00     |70.00     |-1.00     |-2.00     |20        |242       |20        |0.71        |0.1056    |20.22     |0
CF003C15000|60.00     |54.00     |62.00     |54.00     |62.00     |57.00     |2.00      |-3.00     |34        |320       |14        |1.01        |0.0888    |20.62     |0
CF003C15200|52.00     |0.00      |0.00      |0.00      |0.00      |49.00     |-3.00     |-3.00     |0         |262       |0         |0.00        |0.0764    |21.02     |0
CF003C15400|45.00     |0.00      |0.00      |0.00      |0.00      |41.00     |-4.00     |-4.00     |0         |264       |0         |0.00        |0.0650    |21.42     |0
CF003C15600|38.00     |0.00      |0.00      |0.00      |0.00      |35.00     |-3.00     |-3.00     |0         |282       |0         |0.00        |0.0557    |21.82     |0
CF003C15800|34.00     |31.00     |31.00     |31.00     |31.00     |30.00     |-3.00     |-4.00     |8         |180       |8         |0.12        |0.0482    |22.22     |0
CF003C16000|31.00     |0.00      |0.00      |0.00      |0.00      |25.00     |-6.00     |-6.00     |0         |282       |0         |0.00        |0.0409    |22.61     |0
小计       |          |          |          |          |          |          |          |          |294       |3,288     |96        |21.16       |          |          |0
CF003P11000|23.00     |0.00      |0.00      |0.00      |0.00      |24.00     |1.00      |1.00      |0         |50        |0         |0.00        |-0.0459   |16.94     |0
CF003P11200|36.00     |0.00      |0.00      |0.00      |0.00      |36.00     |0.00      |0.00      |0         |56        |0         |0.00        |-0.0668   |16.82     |0
CF003P11400|56.00     |0.00      |0.00      |0.00      |0.00      |55.00     |-1.00     |-1.00     |0         |236       |0         |0.00        |-0.0944   |16.73     |0
CF003P11600|83.00     |103.00    |103.00    |75.00     |75.00     |80.00     |-8.00     |-3.00     |72        |190       |-8        |3.07        |-0.1295   |16.67     |0
CF003P11800|119.00    |152.00    |152.00    |108.00    |108.00    |114.00    |-11.00    |-5.00     |66        |264       |34        |4.44        |-0.1726   |16.64     |0
CF003P12000|166.00    |209.00    |209.00    |153.00    |156.00    |159.00    |-10.00    |-7.00     |90        |92        |-16       |7.77        |-0.2233   |16.65     |0
CF003P12200|224.00    |249.00    |249.00    |249.00    |249.00    |217.00    |25.00     |-7.00     |8         |142       |-4        |0.93        |-0.2807   |16.69     |0
CF003P12400|296.00    |277.00    |277.00    |277.00    |277.00    |287.00    |-19.00    |-9.00     |4         |204       |-2        |0.56        |-0.3432   |16.77     |0
CF003P12600|380.00    |356.00    |356.00    |356.00    |356.00    |372.00    |-24.00    |-8.00     |48        |118       |-12       |8.78        |-0.4088   |16.89     |0
CF003P12800|479.00    |0.00      |0.00      |0.00      |0.00      |471.00    |-8.00     |-8.00     |0         |120       |0         |0.00        |-0.4752   |17.05     |0
CF003P13000|593.00    |575.00    |575.00    |575.00    |575.00    |587.00    |-18.00    |-6.00     |28        |94        |12        |8.10        |-0.5396   |17.25     |0
CF003P13200|719.00    |0.00      |0.00      |0.00      |0.00      |716.00    |-3.00     |-3.00     |0         |144       |0         |0.00        |-0.6002   |17.48     |0
CF003P13400|856.00    |0.00      |0.00      |0.00      |0.00      |855.00    |-1.00     |-1.00     |0         |136       |0         |0.00        |-0.6560   |17.75     |0
CF003P13600|1,003.00  |0.00      |0.00      |0.00      |0.00      |1,004.00  |1.00      |1.00      |0         |32        |0         |0.00        |-0.7070   |18.04     |0
CF003P13800|1,161.00  |0.00      |0.00      |0.00      |0.00      |1,165.00  |4.00      |4.00      |0         |64        |0         |0.00        |-0.7501   |18.37     |0
CF003P14000|1,326.00  |0.00      |0.00      |0.00      |0.00      |1,331.00  |5.00      |5.00      |0         |88        |0         |0.00        |-0.7882   |18.71     |0
CF003P14200|1,497.00  |0.00      |0.00      |0.00      |0.00      |1,504.00  |7.00      |7.00      |0         |72        |0         |0.00        |-0.8218   |19.07     |0
CF003P14400|1,675.00  |0.00      |0.00      |0.00      |0.00      |1,683.00  |8.00      |8.00      |0         |64        |0         |0.00        |-0.8488   |19.45     |0
CF003P14600|1,856.00  |0.00      |0.00      |0.00      |0.00      |1,864.00  |8.00      |8.00      |0         |56        |0         |0.00        |-0.8739   |19.83     |0
CF003P14800|2,043.00  |0.00      |0.00      |0.00      |0.00      |2,050.00  |7.00      |7.00      |0         |48        |0         |0.00        |-0.8927   |20.22     |0
CF003P15000|2,230.00  |0.00      |0.00      |0.00      |0.00      |2,238.00  |8.00      |8.00      |0         |72        |0         |0.00        |-0.9109   |20.62     |0
CF003P15200|2,421.00  |0.00      |0.00      |0.00      |0.00      |2,429.00  |8.00      |8.00      |0         |64        |0         |0.00        |-0.9245   |21.02     |0
CF003P15400|2,614.00  |0.00      |0.00      |0.00      |0.00      |2,621.00  |7.00      |7.00      |0         |40        |0         |0.00        |-0.9373   |21.42     |0
CF003P15600|2,807.00  |0.00      |0.00      |0.00      |0.00      |2,815.00  |8.00      |8.00      |0         |68        |0         |0.00        |-0.9480   |21.82     |0
CF003P15800|3,003.00  |0.00      |0.00      |0.00      |0.00      |3,010.00  |7.00      |7.00      |0         |16        |0         |0.00        |-0.9569   |22.22     |0
CF003P16000|3,199.00  |0.00      |0.00      |0.00      |0.00      |3,205.00  |6.00      |6.00      |0         |194       |0         |0.00        |-0.9656   |22.61     |0
小计       |          |          |          |          |          |          |          |          |316       |2,724     |4         |33.65       |          |          |0
CF005C11400|1,760.00  |0.00      |0.00      |0.00      |0.00      |1,688.00  |-72.00    |-72.00    |0         |0         |0         |0.00        |0.8932    |16.45     |0
CF005C11600|1,592.00  |0.00      |0.00      |0.00      |0.00      |1,521.00  |-71.00    |-71.00    |0         |24        |0         |0.00        |0.8577    |16.60     |0
CF005C11800|1,434.00  |0.00      |0.00      |0.00      |0.00      |1,362.00  |-72.00    |-72.00    |0         |24        |0         |0.00        |0.8175    |16.74     |0
CF005C12000|1,284.00  |0.00      |0.00      |0.00      |0.00      |1,214.00  |-70.00    |-70.00    |0         |44        |0         |0.00        |0.7736    |16.90     |0
