,1,2,3,4,5,6,7,8,9,10,11
185,19970310,0.219838,5,0.192929,0.211134,0.185423,0.258938,5,0.176244,0.172451,"0.17386
"
186,19970311,0.0114317,5,6.38099,0.204958,0.212915,0.087483,4,0.128718,0.165354,"0.164103
"
187,19970312,0.0721238,5,0.344789,0.248303,0.203778,0.0857069,4,0.126456,0.215602,"0.20538
"
188,19970313,0.229421,1,0.107516,0.264544,0.372279,0.1971,3,0.0359984,0.216567,"0.284354
"
189,19970314,0.248679,3,0.0540413,0.237585,0.200771,0.100951,6,0.147384,0.150352,"0.144904
"
190,19970317,0.16179,0,0.165137,0.180407,0.189224,0.156937,0,0.182941,0.152222,"0.141101
"
191,19970318,0,0,0,0.153129,0.130994,0.0231362,6,2.28868,0.124868,"0.139559
"
192,19970319,0,0,0,0.133685,0.127699,0,0,0,0.126725,"0.141134
"
193,19970320,0.0940594,4,0.387105,0.183614,0.174979,0.176914,0,0.147973,0.253941,"0.250983
"
194,19970321,0,0,0,0.0837037,0.0837037,0,0,0,0.0914951,"0.0914951
"
195,19970324,0.027711,4,0.9156,0.180272,0.180309,0.110832,6,0.0542356,0.115184,"0.126693
"
196,19970325,0.067767,3,0.0912986,0.160407,0.173892,0.0420291,5,0.407604,0.129178,"0.154424
"
197,19970326,0.127376,5,0.147667,0.156768,0.146218,0.112817,3,0.140909,0.138548,"0.116961
"
198,19970327,0.10272,4,0.0274932,0.138514,0.144189,0.110898,0,0.101502,0.10319,"0.114329
"
199,19970331,0.156487,6,0.0599073,0.16669,0.109103,0.113585,6,0.149803,0.149487,"0.135635
"
200,19970401,0.13099,1,0.133671,0.135052,0.113098,0.0351571,6,0.29365,0.113098,"0.13212
"
201,19970402,0.137577,4,0.282837,0.237684,0.226109,0.275135,3,0.0798995,0.16333,"0.191124
"
202,19970403,0.198182,0,0.265762,0.22158,0.196834,0.256692,2,0.141147,0.223192,"0.247551
"
203,19970404,0,0,0,0.158878,0.184329,0,0,0,0.188425,"0.206426
"
204,19970407,0.256686,1,0.127655,0.197535,0.180377,0.144642,3,0.107974,0.184895,"0.184004
"
205,19970408,0,0,0,0.126217,0.157173,0.116357,1,0.114585,0.0986142,"0.100844
"
206,19970409,0,0,0,0.187043,0.187043,0,0,0,0.148946,"0.148946
"
207,19970410,0.341663,1,0.205575,0.27243,0.309839,0.331026,6,0.202188,0.244437,"0.264955
"
208,19970411,0.213387,6,0.147763,0.176741,0.1937,0.271338,3,0.111984,0.152781,"0.150093
"
209,19970414,0,0,0,0.0950703,0.0950703,0,0,0,0.102484,"0.112088
"
210,19970415,0,0,0,0.202991,0.233084,0.174847,2,0.202007,0.164631,"0.138372
"
211,19970416,0,0,0,0.191975,0.211779,0,0,0,0.166929,"0.208878
"
212,19970421,0,0,0,0.180993,0.155981,0.107364,4,0.0807568,0.134582,"0.134465
"
213,19970422,0.189295,6,0.0888008,0.130239,0.130251,0.0808539,3,0.219143,0.1147,"0.110844
"
214,19970423,0.108768,3,0.630184,0.181035,0.162328,0.0279612,6,2.3446,0.152529,"0.12488
"
215,19970424,0.0485115,3,0.830335,0.175892,0.18924,0.00737001,7,4.51608,0.105857,"0.113286
"
216,19970425,0.0314139,4,0.123675,0.121576,0.128165,0.112854,2,0.0567207,0.0939103,"0.0917276
"
217,19970428,0.415471,6,0.296233,0.497375,0.438371,0.320013,3,0.591892,0.328384,"0.39566
"
218,19970429,0,0,0,0.262701,0.316135,0,0,0,0.158108,"0.180855
"
219,19970430,0.214533,0,0.30388,0.503425,0.381761,0.32799,0,0.239892,0.35212,"0.373569
"
220,19970501,0.0238805,6,4.59493e-16,0.402148,0.291203,0.0403435,6,0.543846,0.340853,"0.304961
"
221,19970502,0,0,0,0.273261,0.244511,0.288384,5,0.126212,0.240317,"0.283323
"
222,19970505,0.0494672,6,1.35599,0.28365,0.28406,0.0948016,5,1.28142,0.227009,"0.227072
"
223,19970506,0,0,0,0.327876,0.304969,0,0,0,0.254061,"0.224168
"
224,19970507,0.544329,2,0.151596,0.475976,0.461231,0.127786,6,0.393866,0.337034,"0.332042
"
225,19970508,1.04344,3,0.412073,1.02964,1.03521,0.883618,3,0.284589,0.856616,"0.985281
"
226,19970509,0.158907,6,0.424008,0.571008,0.53739,0.626142,6,0.240246,0.510181,"0.403241
"
227,19970512,0.105017,6,5.12383,0.634997,0.674077,0.653761,4,0.438933,0.400956,"0.42747
"
228,19970513,0.135851,4,0.167205,0.416836,0.370729,0.171124,4,0.175457,0.248232,"0.248159
"
229,19970514,0.0130867,4,7.24847,0.341102,0.322674,0.0331845,5,3.04388,0.256779,"0.257008
"
230,19970515,0.301147,5,0.37552,0.351064,0.350676,0.243443,5,0.139683,0.236356,"0.270355
"
231,19970516,0.578396,5,0.202391,0.477244,0.391659,0.338687,4,0.299561,0.313153,"0.358746
"
232,19970519,0.161503,7,0.312116,0.289872,0.224279,0.106208,0,0.175188,0.190478,"0.19775
"
233,19970520,0.302911,0,0.588635,0.36663,0.36663,0,0,0,0.261614,"0.261614
"
234,19970521,0.0439641,6,3.66221,0.471423,0.396681,0.0415473,4,2.30639,0.440043,"0.365435
"
235,19970522,0.140852,6,0.247113,0.292693,0.292693,0.109654,2,0.275681,0.233714,"0.222006
"
236,19970523,0.229514,5,0.149641,0.421074,0.447465,0.202908,1,0.0472175,0.327318,"0.352702
"
237,19970527,0.189224,3,0.0927126,0.303123,0.265203,0.109434,3,0.133992,0.180302,"0.187655
"
238,19970528,0.0839177,3,0.15309,0.382725,0.251369,0,0,0,0.191068,"0.161833
"
239,19970529,0,0,0,0.24251,0.242611,0,0,0,0.183081,"0.1903
"
240,19970530,0,0,0,0.290917,0.348365,0,0,0,0.164519,"0.173651
"
241,19970602,0.0562629,8,0,0.250266,0.225326,0,0,0,0.127778,"0.127778
"
