ÉÌÆ·Ãû³Æ	ºÏÔ¼Ãû³Æ	¿ªÅÌ¼Û		×î¸ß¼Û		×îµÍ¼Û		ÊÕÅÌ¼Û		Ç°½áËã¼Û	½áËã¼Û		ÕÇµø		ÕÇµø1		Delta		³É½»Á¿		³Ö²ÖÁ¿		³Ö²ÖÁ¿±ä»¯	³É½»¶î		ÐÐÈ¨Á¿		
ÓñÃ×		c2003-C-2100	1.5		2		1.5		2		0.5		0.5		1.5		0		0.01		164		428		-84		0.25		0		
ÓñÃ×		c2003-C-2120	1.5		1.5		1.5		1.5		0.5		0.5		1		0		0.01		232		722		-20		0.26		0		
ÓñÃ×		c2003-C-2140	1.5		2		1.5		2		0.5		0.5		1.5		0		0.01		136		1,054		82		0.2		0		
ÓñÃ×		c2003-C-2160	1		1.5		1		1.5		0.5		0.5		1		0		0.01		498		1,006		-28		0.66		0		
ÓñÃ×		c2003-C-2180	1		1		1		1		0.5		0.5		0.5		0		0.01		652		1,024		218		0.65		0		
ÓñÃ×		c2003-C-2200	1		1		1		1		0.5		0.5		0.5		0		0.01		104		752		64		0.1		0		
ÓñÃ×		c2003-C-2220	1		1		1		1		0.5		0.5		0.5		0		0.01		150		798		110		0.14		0		
ÓñÃ×		c2003-P-1700	0		0		0		0.5		0.5		0.5		0		0		-0.02		0		70		0		0		0		
ÓñÃ×		c2003-P-1720	1		1		1		1		0.5		1.5		0.5		1		-0.04		110		100		90		0.12		0		
ÓñÃ×		c2003-P-1740	1		1		1		1		1.5		2.5		-0.5		1		-0.06		50		260		50		0.05		0		
ÓñÃ×		c2003-P-1760	1.5		2		1.5		2		3		4		-1		1		-0.09		210		354		210		0.38		0		
ÓñÃ×		c2003-P-1780	2.5		2.5		2.5		2.5		5		7		-2.5		2		-0.15		360		940		130		0.9		0		
ÓñÃ×		c2003-P-1800	3.5		4		3.5		4		8.5		10.5		-4.5		2		-0.2		246		1,142		134		0.94		0		
ÓñÃ×		c2003-P-1820	6.5		7		6		7		13.5		16		-6.5		2.5		-0.28		100		1,280		-20		0.66		0		
ÓñÃ×		c2003-P-1840	11.5		12		11.5		12		20		22.5		-8		2.5		-0.36		150		2,226		-20		1.97		0		
ÓñÃ×		c2003-P-1860	17.5		21		17.5		21		28.5		31		-7.5		2.5		-0.44		218		2,702		-58		4.22		0		
ÓñÃ×		c2003-P-1880	29		32		29		32		38.5		41		-6.5		2.5		-0.53		250		518		-90		7.58		0		
ÓñÃ×		c2003-P-1900	43		45		42.5		45		51		53		-6		2		-0.62		308		456		-38		13.8		0		
ÓñÃ×		c2003-P-1920	59		60		58		60		65		66.5		-5		1.5		-0.7		26		590		-20		1.54		0		
ÓñÃ×		c2003-P-1940	76		77.5		73.5		77.5		81		81.5		-3.5		0.5		-0.77		26		524		-8		1.94		0		
ÓñÃ×		c2003-P-1960	92		92		92		92		98		97.5		-6		-0.5		-0.83		16		536		0		1.47		0		
ÓñÃ×		c2003-P-1980	111		111		111		111		115.5		115		-4.5		-0.5		-0.88		2		544		-2		0.22		0		
ÓñÃ×		c2003-P-2000	0		0		0		133		134.5		133		-1.5		-1.5		-0.92		0		294		0		0		0		
ÓñÃ×		c2003-P-2020	0		0		0		151.5		153.5		151.5		-2		-2		-0.95		0		278		0		0		0		
ÓñÃ×		c2003-P-2040	0		0		0		171		173		171		-2		-2		-0.96		0		184		0		0		0		
ÓñÃ×		c2003-P-2060	0		0		0		190.5		193		190.5		-2.5		-2.5		-0.98		0		260		0		0		0		
ÓñÃ×		c2003-P-2080	0		0		0		210		213		210		-3		-3		-1		0		330		0		0		0		
ÓñÃ×		c2003-P-2100	0		0		0		230		233		230		-3		-3		-1		0		150		0		0		0		
ÓñÃ×		c2003-P-2120	0		0		0		250		253		250		-3		-3		-1		0		198		0		0		0		
ÓñÃ×		c2003-P-2140	0		0		0		270		273		270		-3		-3		-1		0		192		0		0		0		
ÓñÃ×		c2003-P-2160	0		0		0		290		293		290		-3		-3		-1		0		182		0		0		0		
ÓñÃ×		c2003-P-2180	0		0		0		310		313		310		-3		-3		-1		0		58		0		0		0		
ÓñÃ×		c2003-P-2200	0		0		0		330		333		330		-3		-3		-1		0		50		0		0		0		
ÓñÃ×		c2003-P-2220	0		0		0		350		353		350		-3		-3		-1		0		52		0		0		0		
ÓñÃ×		c2005-C-1740	181.5		181.5		181.5		181.5		180		181.5		1.5		1.5		0.95		20		124		20		3.63		0		
ÓñÃ×		c2005-C-1760	161.5		166.5		161.5		164		160.5		163		3.5		2.5		0.93		46		164		26		7.54		0		
ÓñÃ×		c2005-C-1780	142.5		142.5		142.5		142.5		141.5		144.5		1		3		0.9		20		160		20		2.85		0		
ÓñÃ×		c2005-C-1800	123.5		128.5		123.5		128.5		123		127.5		5.5		4.5		0.86		42		200		18		5.3		0		
ÓñÃ×		c2005-C-1820	105		109		103		109		105.5		111		3.5		5.5		0.82		106		450		-34		11.32		0		
ÓñÃ×		c2005-C-1840	87.5		91.5		85		90		89		95.5		1		6.5		0.77		150		580		-6		13.27		0		
ÓñÃ×		c2005-C-1860	70		74.5		68		72.5		74		81		-1.5		7		0.71		98		1,438		-2		7		0		
ÓñÃ×		c2005-C-1880	55.5		60		54		58.5		60		68		-1.5		8		0.64		262		1,866		12		15.03		0		
ÓñÃ×		c2005-C-1900	42.5		46.5		41		46		48		56		-2		8		0.58		248		4,316		-58		10.97		0		
ÓñÃ×		c2005-C-1920	33		37.5		30.5		37		37.5		46		-0.5		8.5		0.51		1,126		38,814		156		37.82		0		
ÓñÃ×		c2005-C-1940	24.5		29.5		23		28.5		28.5		37		0		8.5		0.44		2,352		31,270		-314		62.08		0		
ÓñÃ×		c2005-C-1960	19		24		18		24		21		29		3		8		0.37		3,486		28,372		-28		69.02		0		
ÓñÃ×		c2005-C-1980	16		22		15.5		21		15		22.5		6		7.5		0.31		7,564		23,426		-5,074		146.91		0		
ÓñÃ×		c2005-C-2000	14.5		19.5		14.5		19.5		10.5		17.5		9		7		0.26		3,826		33,294		-478		65.39		0		
ÓñÃ×		c2005-C-2020	13		18		13		18		7.5		13		10.5		5.5		0.21		2,488		8,124		-86		40.96		0		
ÓñÃ×		c2005-C-2040	11.5		17		11.5		17		5		9.5		12		4.5		0.16		2,630		10,678		24		39.04		0		
ÓñÃ×		c2005-C-2060	10.5		15.5		10.5		15.5		3		7		12.5		4		0.13		1,192		3,360		-90		15.16		0		
ÓñÃ×		c2005-C-2080	10		14		10		14		2		5		12		3		0.09		830		3,552		-138		9.05		0		
ÓñÃ×		c2005-C-2100	9		13.5		9		13		1		3.5		12		2.5		0.07		3,198		41,082		-818		36.65		0		
ÓñÃ×		c2005-C-2120	8.5		12.5		8.5		12.5		0.5		2.5		12		2		0.05		588		5,944		126		5.45		0		
ÓñÃ×		c2005-C-2140	8		10		8		9.5		0.5		1.5		9		1		0.03		464		4,268		100		4.03		0		
ÓñÃ×		c2005-C-2160	7		9.5		7		9.5		0.5		1		9		0.5		0.02		304		2,054		-34		2.52		0		
ÓñÃ×		c2005-C-2180	6.5		8.5		6		8.5		0.5		0.5		8		0		0.01		482		2,030		142		3.46		0		
ÓñÃ×		c2005-C-2200	6		8		6		7.5		0.5		0.5		7		0		0.01		490		2,570		96		3.29		0		
ÓñÃ×		c2005-C-2220	6		7		6		7		0.5		0.5		6.5		0		0.01		478		2,100		146		3.05		0		
ÓñÃ×		c2005-C-2240	5		6.5		5		6.5		0.5		0.5		6		0		0.01		708		3,604		28		3.9		0		
ÓñÃ×		c2005-C-2260	5		6		5		6		0.5		0.5		5.5		0		0.01		1,214		11,762		200		6.32		0		
ÓñÃ×		c2005-P-1740	1.5		2		1.5		2		0.5		2		1.5		1.5		-0.04		360		392		58		0.65		0		
ÓñÃ×		c2005-P-1760	2		2.5		2		2.5		1		3.5		1.5		2.5		-0.07		218		712		-16		0.45		0		
ÓñÃ×		c2005-P-1780	2.5		3		2.5		3		2		5.5		1		3.5		-0.1		352		604		88		0.97		0		
ÓñÃ×		c2005-P-1800	3.5		4		3.5		4		4		8		0		4		-0.13		336		1,626		30		1.21		0		
